Open time,Open,High,Low,Close,Volume
2022-12-31 16:00:00,16586.1,16591.7,16586.0,16588.4,873.158
2022-12-31 16:15:00,16588.4,16599.3,16577.3,16599.1,1409.596
2022-12-31 16:30:00,16599.1,16599.3,16590.7,16593.6,675.457
2022-12-31 16:45:00,16593.7,16609.3,16592.3,16596.0,993.925
2022-12-31 17:00:00,16596.1,16600.1,16576.2,16578.6,1496.217
2022-12-31 17:15:00,16578.7,16590.0,16565.9,16576.8,2363.492
2022-12-31 17:30:00,16576.8,16578.2,16572.0,16578.0,805.896
2022-12-31 17:45:00,16577.9,16578.9,16573.3,16573.4,720.513
2022-12-31 18:00:00,16573.4,16582.8,16573.3,16581.7,643.894
2022-12-31 18:15:00,16581.7,16581.8,16571.2,16571.3,366.673
2022-12-31 18:30:00,16571.2,16571.6,16566.2,16570.0,833.936
2022-12-31 18:45:00,16570.0,16575.6,16569.9,16571.7,434.807
2022-12-31 19:00:00,16571.8,16573.3,16568.2,16571.4,523.514
2022-12-31 19:15:00,16571.4,16575.5,16562.1,16566.3,1189.674
2022-12-31 19:30:00,16566.4,16584.8,16566.3,16572.9,1039.951
2022-12-31 19:45:00,16572.9,16585.0,16562.0,16564.3,1027.817
2022-12-31 20:00:00,16564.3,16565.3,16562.0,16564.3,593.322
2022-12-31 20:15:00,16564.3,16569.6,16562.8,16566.5,704.513
2022-12-31 20:30:00,16566.5,16567.7,16562.0,16566.5,565.307
2022-12-31 20:45:00,16566.5,16569.7,16562.3,16563.5,532.247
2022-12-31 21:00:00,16563.5,16566.4,16562.0,16564.6,512.234
2022-12-31 21:15:00,16564.5,16565.9,16554.2,16560.6,954.564
2022-12-31 21:30:00,16560.6,16560.6,16553.7,16556.9,708.943
2022-12-31 21:45:00,16556.8,16556.9,16538.6,16544.0,1917.103
2022-12-31 22:00:00,16544.0,16565.1,16540.3,16561.7,1887.815
2022-12-31 22:15:00,16561.6,16561.7,16496.0,16540.7,5849.718
2022-12-31 22:30:00,16540.8,16550.8,16515.3,16533.9,2293.76
2022-12-31 22:45:00,16534.0,16534.0,16461.8,16515.1,6635.274
2022-12-31 23:00:00,16515.1,16519.0,16483.1,16498.7,3071.836
2022-12-31 23:15:00,16498.7,16524.6,16498.1,16520.9,2143.877
2022-12-31 23:30:00,16520.9,16546.9,16516.5,16542.5,2078.69
2022-12-31 23:45:00,16542.5,16543.9,16530.2,16537.6,1048.683
2023-01-01 00:00:00,16537.5,16538.0,16517.4,16517.4,1519.88
2023-01-01 00:15:00,16517.4,16540.9,16513.4,16539.4,1312.854
2023-01-01 00:30:00,16539.3,16539.4,16504.0,16514.4,1806.819
2023-01-01 00:45:00,16514.5,16533.1,16513.9,16527.0,741.846
2023-01-01 01:00:00,16527.1,16539.0,16524.1,16537.3,935.879
2023-01-01 01:15:00,16537.2,16537.3,16528.6,16530.1,521.977
2023-01-01 01:30:00,16530.1,16538.6,16527.9,16535.5,652.473
2023-01-01 01:45:00,16535.5,16554.3,16535.1,16550.4,1100.497
2023-01-01 02:00:00,16550.5,16550.5,16540.0,16547.0,678.759
2023-01-01 02:15:00,16547.0,16552.0,16544.2,16551.9,588.611
2023-01-01 02:30:00,16551.9,16557.1,16535.3,16535.3,728.403
2023-01-01 02:45:00,16535.3,16542.5,16534.8,16542.4,403.895
2023-01-01 03:00:00,16542.5,16542.5,16519.5,16525.0,1501.954
2023-01-01 03:15:00,16525.0,16526.7,16515.0,16523.8,867.699
2023-01-01 03:30:00,16523.8,16531.8,16523.5,16529.4,432.007
2023-01-01 03:45:00,16529.3,16532.3,16526.0,16529.3,412.82
2023-01-01 04:00:00,16529.2,16530.4,16520.2,16520.2,574.594
2023-01-01 04:15:00,16520.2,16523.6,16512.0,16513.6,1166.501
2023-01-01 04:30:00,16513.5,16519.8,16512.4,16517.1,631.058
2023-01-01 04:45:00,16517.1,16520.7,16508.8,16517.8,778.801
2023-01-01 05:00:00,16517.8,16519.7,16508.0,16511.7,1330.227
2023-01-01 05:15:00,16511.8,16516.9,16508.0,16516.9,715.492
2023-01-01 05:30:00,16516.9,16517.0,16511.7,16513.5,431.832
2023-01-01 05:45:00,16513.5,16531.1,16513.5,16525.7,790.742
2023-01-01 06:00:00,16525.6,16538.4,16525.6,16533.2,950.233
2023-01-01 06:15:00,16533.2,16545.7,16533.2,16540.3,1021.094
2023-01-01 06:30:00,16540.2,16540.4,16535.1,16540.4,388.675
2023-01-01 06:45:00,16540.4,16542.0,16535.3,16535.3,366.58
2023-01-01 07:00:00,16535.3,16537.5,16516.9,16522.8,2119.619
2023-01-01 07:15:00,16522.9,16522.9,16488.0,16514.3,4178.521
2023-01-01 07:30:00,16514.3,16523.0,16495.1,16520.2,1652.024
2023-01-01 07:45:00,16520.1,16524.0,16514.6,16519.6,902.508
2023-01-01 08:00:00,16519.5,16524.9,16510.3,16510.4,1172.759
2023-01-01 08:15:00,16510.3,16515.7,16506.0,16515.6,788.558
2023-01-01 08:30:00,16515.7,16518.8,16502.8,16502.9,654.535
2023-01-01 08:45:00,16502.8,16506.5,16502.0,16504.2,673.909
2023-01-01 09:00:00,16504.3,16504.3,16496.8,16504.3,1036.082
2023-01-01 09:15:00,16504.3,16514.4,16504.2,16508.7,699.295
2023-01-01 09:30:00,16508.7,16526.5,16508.7,16526.4,776.592
2023-01-01 09:45:00,16526.5,16536.1,16521.0,16532.7,1436.733
2023-01-01 10:00:00,16532.7,16536.9,16529.0,16536.9,1180.081
2023-01-01 10:15:00,16536.9,16540.3,16535.4,16538.0,1017.325
2023-01-01 10:30:00,16537.9,16538.0,16527.3,16531.5,1165.25
2023-01-01 10:45:00,16531.5,16542.9,16531.5,16542.8,747.769
2023-01-01 11:00:00,16542.9,16547.3,16541.2,16543.1,1442.454
2023-01-01 11:15:00,16543.1,16543.2,16535.1,16538.9,697.422
2023-01-01 11:30:00,16538.9,16545.3,16536.3,16545.3,756.599
2023-01-01 11:45:00,16545.3,16549.8,16542.5,16549.8,871.913
2023-01-01 12:00:00,16549.8,16565.9,16542.9,16557.0,2615.693
2023-01-01 12:15:00,16557.1,16562.4,16550.7,16555.3,1399.376
2023-01-01 12:30:00,16555.3,16564.0,16547.9,16547.9,939.421
2023-01-01 12:45:00,16547.9,16553.9,16547.2,16553.9,527.511
2023-01-01 13:00:00,16553.8,16559.8,16541.9,16545.8,1476.012
2023-01-01 13:15:00,16545.8,16545.8,16532.3,16540.5,1282.335
2023-01-01 13:30:00,16540.5,16541.7,16530.5,16535.9,1171.514
2023-01-01 13:45:00,16536.0,16540.0,16531.8,16539.9,575.395
2023-01-01 14:00:00,16539.9,16545.6,16538.6,16544.0,711.815
2023-01-01 14:15:00,16544.0,16549.7,16543.9,16549.2,425.156
2023-01-01 14:30:00,16549.2,16549.2,16540.5,16540.5,554.259
2023-01-01 14:45:00,16540.5,16540.7,16533.1,16533.1,757.214
2023-01-01 15:00:00,16533.2,16540.3,16533.1,16540.3,552.02
2023-01-01 15:15:00,16540.3,16540.3,16524.6,16534.5,1186.366
2023-01-01 15:30:00,16534.5,16540.9,16534.4,16540.8,398.794
2023-01-01 15:45:00,16540.8,16553.1,16539.0,16553.1,970.003
2023-01-01 16:00:00,16553.0,16579.0,16552.6,16554.8,3412.206
2023-01-01 16:15:00,16554.7,16572.3,16554.7,16572.2,1797.291
2023-01-01 16:30:00,16572.2,16573.8,16552.7,16558.1,1615.51
2023-01-01 16:45:00,16558.2,16564.0,16554.3,16556.0,657.085
2023-01-01 17:00:00,16556.1,16562.5,16555.5,16561.8,582.115
2023-01-01 17:15:00,16561.8,16589.4,16561.8,16575.1,3517.39
2023-01-01 17:30:00,16575.1,16581.3,16566.4,16577.8,1209.791
2023-01-01 17:45:00,16577.7,16578.4,16570.0,16573.1,817.596
2023-01-01 18:00:00,16573.1,16597.0,16573.0,16586.4,2848.364
