entry_date,entry_price,exit_date,exit_price,PnL,Balance,Cum_PnL
2023-01-01 08:45:00,16504.2,2023-01-01 09:45:00,16532.7,-28.5,99971.5,-28.5
2023-01-01 10:00:00,16536.9,2023-01-01 14:30:00,16540.5,3.599999999998545,99975.1,-24.900000000001455
2023-01-01 14:45:00,16533.1,2023-01-01 16:00:00,16554.8,-35.779046432094894,99939.3209535679,-60.67904643209635
2023-01-01 16:15:00,16572.2,2023-01-02 00:45:00,16578.0,5.799999999999272,99945.12095356791,-54.87904643209708
2023-01-02 01:00:00,16558.5,2023-01-02 03:15:00,16575.9,-17.400000000001455,99927.7209535679,-72.27904643209854
2023-01-02 03:30:00,16598.8,2023-01-02 04:00:00,16635.9,37.10000000000218,99964.8209535679,-35.17904643209636
2023-01-02 04:15:00,16633.8,2023-01-02 06:45:00,16632.4,1.3999999999978172,99966.2209535679,-33.77904643209854
2023-01-02 07:00:00,16692.1,2023-01-02 13:00:00,16710.9,18.80000000000291,99985.0209535679,-14.979046432095629
2023-01-02 13:15:00,16710.8,2023-01-02 15:15:00,16710.6,0.2000000000007276,99985.2209535679,-14.779046432094901
2023-01-02 15:30:00,16737.4,2023-01-02 18:15:00,16708.0,-29.400000000001455,99955.8209535679,-44.17904643209636
2023-01-02 18:30:00,16704.1,2023-01-02 21:45:00,16751.9,-50.68794631400188,99905.1330072539,-94.86699274609823
2023-01-03 05:00:00,16691.0,2023-01-03 07:00:00,16720.3,29.299999999999272,99934.4330072539,-65.56699274609896
2023-01-03 07:15:00,16707.9,2023-01-03 14:15:00,16736.1,-28.19999999999709,99906.2330072539,-93.76699274609605
2023-01-03 14:30:00,16747.1,2023-01-03 14:30:00,16747.1,0.0,99906.2330072539,-93.76699274609605
2023-01-03 14:45:00,16653.1,2023-01-03 14:45:00,16653.1,-76.54968970034922,99829.68331755356,-170.31668244644527
2023-01-03 21:15:00,16662.0,2023-01-04 09:45:00,16838.9,176.90000000000146,100006.58331755355,6.583317553556185
2023-01-04 10:00:00,16829.6,2023-01-04 15:30:00,16825.1,4.5,100011.08331755355,11.083317553556185
2023-01-04 15:45:00,16846.5,2023-01-04 19:00:00,16868.9,22.400000000001455,100033.48331755356,33.48331755355764
2023-01-04 19:15:00,16804.7,2023-01-04 23:45:00,16842.1,-37.39999999999782,99996.08331755357,-3.916682446440177
2023-01-05 00:00:00,16856.0,2023-01-05 05:45:00,16836.1,-19.900000000001455,99976.18331755356,-23.816682446441632
2023-01-05 06:00:00,16830.5,2023-01-05 10:45:00,16816.4,14.099999999998545,99990.28331755356,-9.716682446443087
2023-01-05 11:00:00,16818.1,2023-01-05 13:30:00,16789.8,-28.299999999999272,99961.98331755356,-38.01668244644236
2023-01-05 13:45:00,16771.1,2023-01-05 14:00:00,16796.7,-25.600000000002183,99936.38331755355,-63.61668244644454
2023-01-05 14:15:00,16805.0,2023-01-05 23:00:00,16831.4,26.400000000001455,99962.78331755356,-37.21668244644309
2023-01-05 23:15:00,16821.0,2023-01-06 13:30:00,16774.1,46.900000000001455,100009.68331755356,9.683317553558368
2023-01-06 13:45:00,16766.9,2023-01-06 20:30:00,16932.3,165.39999999999782,100175.08331755355,175.08331755355618
2023-01-06 20:45:00,16888.7,2023-01-07 00:30:00,16956.8,-68.09999999999854,100106.98331755356,106.98331755355764
2023-01-07 00:45:00,16970.0,2023-01-07 04:45:00,16930.0,-40.0,100066.98331755356,66.98331755355764
2023-01-07 05:00:00,16930.7,2023-01-07 14:15:00,16920.5,10.200000000000728,100077.18331755356,77.18331755355837
2023-01-07 14:30:00,16935.6,2023-01-07 16:15:00,16918.8,-16.799999999999272,100060.38331755355,60.383317553559095
2023-01-07 16:30:00,16912.0,2023-01-07 19:00:00,16931.5,-19.5,100040.88331755355,40.883317553559095
2023-01-07 19:15:00,16933.6,2023-01-08 00:15:00,16931.1,-2.5,100038.38331755355,38.383317553559095
2023-01-08 00:30:00,16914.6,2023-01-08 03:15:00,16925.5,-10.900000000001455,100027.48331755356,27.48331755355764
2023-01-08 03:30:00,16932.3,2023-01-08 09:30:00,16921.2,-11.099999999998545,100016.38331755355,16.383317553559095
2023-01-08 09:45:00,16927.4,2023-01-08 14:00:00,16928.2,-0.7999999999992724,100015.58331755357,15.583317553559823
2023-01-08 14:15:00,16934.1,2023-01-08 15:45:00,16991.0,56.900000000001455,100072.48331755356,72.48331755356128
2023-01-08 16:00:00,16958.6,2023-01-08 16:00:00,16958.6,-49.30449823535638,100023.1788193182,23.1788193182049
2023-01-08 20:30:00,16966.0,2023-01-09 07:45:00,17190.78998377678,224.7899837767803,100247.96880309499,247.96880309498522
2023-01-09 20:00:00,17231.1,2023-01-10 01:45:00,17187.2,43.89999999999782,100291.86880309499,291.86880309498304
2023-01-10 02:00:00,17206.6,2023-01-10 12:30:00,17228.3,21.700000000000728,100313.56880309498,313.56880309498376
2023-01-10 12:45:00,17216.1,2023-01-10 13:45:00,17238.7,-22.600000000002183,100290.96880309498,290.9688030949816
2023-01-10 14:00:00,17280.0,2023-01-11 02:30:00,17413.1,133.09999999999854,100424.06880309498,424.0688030949801
2023-01-11 02:45:00,17380.0,2023-01-11 06:45:00,17427.1,-47.099999999998545,100376.96880309498,376.9688030949816
2023-01-11 07:00:00,17430.0,2023-01-11 12:00:00,17415.8,-14.200000000000728,100362.76880309498,362.76880309498085
2023-01-11 12:15:00,17402.1,2023-01-11 17:45:00,17373.3,28.799999999999272,100391.56880309498,391.5688030949801
2023-01-11 18:00:00,17511.4,2023-01-11 18:00:00,17511.4,-107.41359860665045,100284.15520448833,284.1552044883297
2023-01-12 04:15:00,18191.4,2023-01-12 11:15:00,18166.4,25.0,100309.15520448833,309.1552044883297
2023-01-12 11:30:00,18198.4,2023-01-12 13:30:00,18149.9,-269.54433211720135,100039.61087237112,39.61087237112832
2023-01-12 14:30:00,17976.9,2023-01-12 17:00:00,18141.3,-164.39999999999782,99875.21087237113,-124.7891276288695
2023-01-12 17:15:00,18245.0,2023-01-13 00:15:00,18838.3,593.2999999999993,100468.51087237113,468.5108723711298
2023-01-13 00:30:00,18711.0,2023-01-13 06:30:00,18837.4,-126.40000000000146,100342.11087237112,342.1108723711283
2023-01-13 06:45:00,18844.0,2023-01-13 12:15:00,18884.5,40.5,100382.61087237112,382.6108723711283
